id,text
1,อยากไปเที่ยวเชียงใหม่ 3 วัน 2 คืน พักที่โรงแรมดุสิตดีทู เชียงใหม่ งบประมาณรวมประมาณ 15,000 บาท ไปเดือนธันวาคมนี้
2,แพลนทริปภูเก็ต 4 วัน 3 คืน จองรีสอร์ทคาทาธานี ภูเก็ต บีช รีสอร์ท งบต่อคนไม่เกิน 8000 บาท
3,สนใจไปเที่ยวเกาะเสม็ด 2 วัน 1 คืน พักเกสต์เฮาส์ริมทะเล งบประมาณ 3500 บาทต่อคน
4,ทริปกรุงเทพ-พัทยา 3 วัน 2 คืน พักโรงแรมเซ็นทาราแกรนด์ มิราจ บีช รีสอร์ท พัทยา งบ 12000 บาท
5,วางแผนไปเที่ยวเขาใหญ่ 2 วัน 1 คืน พักโรงแรมคีรีมายา กอล์ฟ รีสอร์ท แอนด์ สปา งบประมาณ 6500 บาท
6,ไปเที่ยวหัวหิน 3 วัน 2 คืน จองที่พักโรงแรมฮอลิเดย์ อินน์ หัวหิน งบ 9000 บาทต่อคน
7,แพลนเที่ยวกระบี่ 5 วัน 4 คืน พักรีสอร์ทรายาวดี งบประมาณรวม 25000 บาท
8,ทริปเชียงราย 2 วัน 1 คืน พักโรงแรมเดอะเลเจนด์ เชียงราย งบ 4500 บาท
9,อยากไปเที่ยวเกาะช้าง 4 วัน 3 คืน พักรีสอร์ทเกาะช้าง พาราไดซ์ งบประมาณ 10000 บาทต่อคน
10,วางแผนไปน่าน 3 วัน 2 คืน พักโฮสเทลกลางเมืองน่าน งบ 3000 บาท ราคาประหยัด
11,ทริปเที่ยวสุราษฎร์ธานี-เกาะสมุย 6 วัน 5 คืน พักโรงแรมดับบลิว สมุย งบประมาณ 35000 บาท
12,ไปเที่ยวปาย 2 วัน 1 คืน พักที่พักสไตล์รีสอร์ทริมแม่น้ำปาย งบ 2800 บาทต่อคน
13,แพลนทริปกาญจนบุรี 3 วัน 2 คืน พักโรงแรมริเวอร์แคว รีสอร์ท งบประมาณ 5500 บาท
14,อยากไปเที่ยวสงขลา-หาดใหญ่ 2 วัน 1 คืน พักโรงแรมลี การ์เดนส์ พลาซ่า งบ 4000 บาท
15,ทริปเที่ยวอุบลราชธานี 3 วัน 2 คืน พักโรงแรมสุนีย์ แกรนด์ งบประมาณ 6000 บาทต่อคน
